mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,feat_drop,attn_drop,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.3,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.20078738714954628,0.8702964426877471,0.054488377307721055,0.05754498485658293,0.1127441765077846,0.1043614219881501,0.005288919549292073
naive,64,0.3,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.23037384988063836,0.9691106719367589,0.05818820539651693,0.08214858364510956,0.11522225830157401,0.1260862409479921,0.031487139055878584
naive,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.36603781559231763,0.8747430830039525,0.8181478436355483,0.3163727062177089,0.10508775827593868,0.07987162606978275,0.0020038763509740154
naive,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.19205252541684092,0.9209683794466403,0.054488377307721055,0.07746303224657046,0.07499188214584793,0.02239960500329164,0.0020038763509740154
naive,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.28976318012536834,0.7743675889328063,0.5685589356454145,0.07457687511134865,0.11079589151128809,0.1086405529953917,0.10163923655596072
naive,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.3008910845521351,0.6756521739130434,0.71569250317662,0.2435774095848922,0.08109309042435014,0.0792626728110599,0.010068657402844848
naive,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.2707560598410022,0.8875296442687747,0.3569960385679049,0.18583645109567076,0.07277015364107121,0.07641540487162607,0.0449886666009658
naive,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.1491200155920299,0.5519762845849803,0.15847596980342327,0.03215749153750223,0.08343445046399946,0.06660631994733378,0.0020695772149403767
naive,64,0.5,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.28340939536189336,0.8564229249011858,0.5268891546453397,0.1071975770532692,0.08444277340078273,0.08959842001316656,0.035905522157616374
naive,64,0.5,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.17993298791442627,0.894604743083004,0.054488377307721055,0.047960092642080884,0.052808777536615795,0.02773206056616195,0.0020038763509740154
naive,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.23087820275214366,0.9321739130434783,0.24508558188205395,0.05195082843399252,0.0994138054791243,0.05464121132323897,0.0020038763509740154
naive,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.19530951091650048,0.9289130434782609,0.05450706330816952,0.053589880634241936,0.07278724386033873,0.06005595786701778,0.0020038763509740154
rehearsal,64,0.3,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.6264515236674585,0.5522332015810276,0.7274833694596009,0.6185640477463032,0.5297797070736417,0.6275510204081632,0.7030977957360139
rehearsal,64,0.3,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.852549413282684,0.9798221343873518,0.8942372374616937,0.8153037591305897,0.7983525028626117,0.8063693219223174,0.8212115239315397
rehearsal,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.8049193929895994,0.8813241106719367,0.8224082517377981,0.7301977552111171,0.8020098097858596,0.7796741277156024,0.813902302815282
rehearsal,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.8565674094775698,0.9758300395256917,0.954779878914717,0.8090326028861571,0.7868507852955754,0.7971856484529296,0.8157255017903485
rehearsal,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.3544901464591567,0.7970553359683794,0.3550340085208162,0.3983253162301799,0.2331276810281476,0.17860434496379196,0.1647941920436254
rehearsal,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.72584775200174,0.9743675889328063,0.6606248598549966,0.6507928024229467,0.6668090851605626,0.684660961158657,0.7178312144804704
