mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,attn_drop,negative_slope,residual,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.3,0.001,0.0,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.42012385512915656,0.6236758893280633,0.5175835264220047,0.4448245145198646,0.390255156973664,0.3312047399605003,0.21319930357084196
naive,64,0.3,0.001,0.0,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.48971344670984496,0.6380632411067194,0.6156850287764407,0.5277748084803136,0.4704424657768359,0.3544107965766952,0.331904339542065
naive,64,0.3,0.001,0.0,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.40810697952996583,0.5844664031620553,0.5475371851408924,0.449135934437912,0.36096252114914634,0.31277156023699804,0.19376827305279065
naive,64,0.3,0.001,0.0,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.5357218350537879,0.679901185770751,0.7026870468644891,0.5867806876892927,0.5207218908618597,0.3704246214614878,0.35381557767484645
naive,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.3740480202679135,0.5173715415019763,0.4795388295089319,0.4381792267949403,0.3141524105754277,0.26555299539170507,0.22949311783449952
naive,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.4958155518995688,0.6004743083003953,0.628989461095747,0.5664706930340282,0.49105327021345685,0.35301184990125084,0.33489372885253443
naive,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.3970033951519502,0.6017786561264822,0.5782943418790643,0.44847675040085516,0.33040520909883275,0.22187294272547728,0.20119247068098944
naive,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.5804054466006208,0.7084189723320158,0.6594102698258465,0.5873151612328523,0.5381710047339907,0.5035878867676102,0.48552938471140894
naive,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.36529614857218756,0.509604743083004,0.4315158083563794,0.39233921254231247,0.33937757421427717,0.30391705069124425,0.2150225025459085
naive,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.4140230854592095,0.5482608695652174,0.5402683309664399,0.46481382504899343,0.4103532548322595,0.28331138907175774,0.237130843270589
naive,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.36335290512195173,0.5343675889328063,0.47582031541968756,0.4008195261001247,0.31295609522670176,0.2750987491770902,0.18105515587529977
naive,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.4741226680051358,0.675098814229249,0.6056880185365124,0.5210760734010333,0.3796079503700032,0.33531928900592495,0.3279458624880917
rehearsal,64,0.3,0.001,0.0,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.5500518637748738,0.5701383399209486,0.5751364078032738,0.5749331908070551,0.5446481978363782,0.5210994075049374,0.5143556387766499
rehearsal,64,0.3,0.001,0.0,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.6314578768235378,0.5865810276679841,0.6268218850437253,0.6649385355424906,0.6548288414540359,0.6232554312047399,0.6323215400282514
rehearsal,64,0.3,0.001,0.0,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.5449800537343306,0.5439920948616601,0.5520218252485238,0.5605914840548726,0.5551586826858989,0.5346938775510204,0.5234223580040077
rehearsal,64,0.3,0.001,0.0,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.6532455427771904,0.6809881422924902,0.7038829508931909,0.6805807945840014,0.6305949105327021,0.6200789993416721,0.6033474590190862
rehearsal,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.5378291114118824,0.5313241106719367,0.5590103894162494,0.5602707999287369,0.5464084904209321,0.517034233048058,0.5129266449853815
rehearsal,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.6286554201579962,0.6376679841897234,0.6759847522236341,0.6604845893461607,0.6315690530309503,0.5916392363396972,0.5745869058178115
rehearsal,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.608364317704842,0.6204545454545455,0.647712833545108,0.6291288081239979,0.599388170150223,0.5777156023699802,0.5757859465851976
rehearsal,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.6495235676274894,0.6177667984189723,0.7071343149712236,0.6875289506502762,0.649804316989387,0.6197498354180382,0.6151571893170396
rehearsal,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.5090645475057419,0.5782411067193676,0.549050751177218,0.5134152859433458,0.49228376600071777,0.46273864384463465,0.45865773134916726
rehearsal,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.5810109940543181,0.6462450592885376,0.603856790492563,0.5806164261535721,0.5732914053287304,0.5471362738643845,0.534920009198121
rehearsal,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.48503860749221356,0.5662648221343873,0.477408625457807,0.4683057188669161,0.465349580435117,0.4671658986175115,0.4657369994415427
rehearsal,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.6062965486059738,0.6460079051383399,0.6431721354361313,0.6249242829146624,0.600652846376019,0.5642034233048058,0.5588186984658848
ewc,64,0.3,0.001,0.0,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.4206796095937491,0.5759288537549407,0.5167800284027206,0.4647960092642081,0.40643959461999896,0.2953094140882159,0.2648237574324102
ewc,64,0.3,0.001,0.0,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.5232721246529758,0.6561462450592885,0.6458255474998131,0.5845002672367717,0.5136978107429119,0.3768762343647136,0.3625866430143556
ewc,64,0.3,0.001,0.0,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.4573761136739967,0.6266403162055336,0.5767060318409447,0.5052734722964547,0.4416625365303437,0.31430217248189596,0.27967215268880785
ewc,64,0.3,0.001,0.0,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.5304208677884489,0.6950592885375494,0.6610359518648629,0.587689292713344,0.5124502247363834,0.36897630019749833,0.35731414868105515
ewc,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.42141346822967846,0.5491106719367589,0.5221989685327753,0.4697131658649564,0.4167108163997744,0.3379526003949967,0.23279458624880917
ewc,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.46877978665209635,0.5286363636363637,0.5769863218476717,0.5323000178157847,0.4863534599148907,0.35511849901250825,0.33328405768535857
ewc,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.3823043004828861,0.5060671936758894,0.4622729650945512,0.387243898093711,0.3800352058516911,0.29287360105332455,0.26533293912814954
ewc,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.46079153275601037,0.664604743083004,0.6145825547499814,0.5103866025298415,0.36109924290328643,0.30473996050032914,0.30933609276961993
ewc,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.3236223139965781,0.5169762845849802,0.3458404963001719,0.306574024585783,0.28068976124963685,0.2609611586570112,0.2306921586018856
ewc,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.36183233217124305,0.4902766798418972,0.4272740862545781,0.36431498307500443,0.3422658212704869,0.28752468729427255,0.25933773529121906
ewc,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.446278223922476,0.7045849802371541,0.6385193213244638,0.4956707642971673,0.3795566797122007,0.24091507570770243,0.21842252225616768
ewc,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.4208909220470583,0.6407312252964427,0.5710254877046117,0.47331195439159096,0.3774545827422966,0.25037853851217906,0.2124437436352288
si,64,0.3,0.001,0.0,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.4481051006078638,0.6097826086956522,0.5277113386650721,0.47297345448066985,0.4275972860731803,0.36683673469387756,0.2837291810387307
si,64,0.3,0.001,0.0,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.5344243666105052,0.6726482213438735,0.6821137603707302,0.6214858364510957,0.4613333789072514,0.40268268597761686,0.36628231661246347
si,64,0.3,0.001,0.0,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.38778939797622,0.5522727272727272,0.4692802152627252,0.3724746125066809,0.33134517115854595,0.3051020408163265,0.29626162084031404
