mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.3,0.001,0.0,60,5000,1000.0,5.0,grid,0.15437839741470238,0.6089723320158102,0.06216832349203976,0.05277035453411723,0.1018747970536462,0.09591836734693877,0.0045662100456621
naive,64,0.3,0.001,0.0,90,5000,1000.0,5.0,grid,0.22477680409237843,0.9651581027667984,0.054488377307721055,0.05497951184749688,0.11284671782338968,0.12667873601053325,0.0345093787983312
naive,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,grid,0.2308589822940692,0.9296837944664031,0.25132670603184093,0.05200427578834848,0.09177447746654589,0.05836076366030283,0.0020038763509740154
naive,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,grid,0.2350784118620569,0.9915810276679842,0.24110546378653114,0.06712987707108498,0.08481875822466803,0.02383146807109941,0.0020038763509740154
naive,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,grid,0.32486770533659576,0.8417786561264822,0.46711263921070334,0.211865312667023,0.13132124485157146,0.13745885450954576,0.1596695246542492
naive,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,grid,0.33090704632390044,0.8884189723320158,0.7944353090664474,0.05581685373240691,0.08522892348708834,0.08207702435813034,0.07946519496731382
naive,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,grid,0.17500480678557098,0.6729446640316206,0.07360415576649974,0.052378407268840195,0.08276793191256644,0.09419025674786044,0.07414342498603857
naive,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,grid,0.19407629227233406,0.9313241106719368,0.05473129531355109,0.05458756458221985,0.04481055491941962,0.04045424621461488,0.03854998193226241
naive,64,0.5,0.001,0.0,60,5000,1000.0,5.0,grid,0.20213035291100612,0.9435770750988143,0.11015397264369535,0.04658827721361126,0.044537111411139405,0.06107636603028308,0.00684931506849315
naive,64,0.5,0.001,0.0,90,5000,1000.0,5.0,grid,0.2139329454265382,0.955,0.054488377307721055,0.061535720648494566,0.07827320424521046,0.09405859117840684,0.04024177917939621
