mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,eps_learn,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.3,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.191939504557588,0.9574308300395257,0.054488377307721055,0.04667735613753786,0.04072599251448396,0.04925938117182357,0.003055090174435794
naive,64,0.3,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.1995906728540691,0.992905138339921,0.054488377307721055,0.04641011936575806,0.04072599251448396,0.06101053324555629,0.0020038763509740154
naive,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.1759673774504317,0.8538537549407115,0.054488377307721055,0.05195082843399252,0.04072599251448396,0.05278143515470705,0.0020038763509740154
naive,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.19196438951688963,0.968399209486166,0.054488377307721055,0.04657046142882594,0.04072599251448396,0.03959842001316656,0.0020038763509740154
naive,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,True,grid,0.19130926597224354,0.7730434782608696,0.054488377307721055,0.051986460003563155,0.10932613265428195,0.12226793943383805,0.03674320817318748
naive,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,True,grid,0.23559067865300287,0.9598023715415019,0.2641266163390388,0.04657046142882594,0.04072599251448396,0.07674456879526004,0.02557406129890608
naive,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,True,grid,0.1253219865286085,0.4974308300395257,0.054488377307721055,0.05195082843399252,0.09233845470237383,0.05371955233706386,0.0020038763509740154
naive,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,True,grid,0.13469659931835395,0.5519762845849803,0.054488377307721055,0.06777124532335649,0.0852972843641584,0.04664252797893351,0.0020038763509740154
naive,64,0.5,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.2371286415347127,0.9383201581027668,0.34017863816428734,0.07783716372706218,0.04267427751098046,0.021757735352205397,0.0020038763509740154
naive,64,0.5,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.196901259646638,0.9647628458498023,0.054488377307721055,0.04657046142882594,0.0846649462512604,0.02891705069124424,0.0020038763509740154
naive,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.2692290797412855,0.8721936758893281,0.5601876074445026,0.048815250311776234,0.051578281749354846,0.08059578670177749,0.0020038763509740154
naive,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.2363322012854985,0.9478458498023715,0.3252485238059646,0.04657046142882594,0.05949105327021346,0.03683344305464121,0.0020038763509740154
rehearsal,64,0.3,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.7725623240468531,0.9811857707509881,0.772348456536363,0.7971672902191341,0.45227556269546937,0.808080974325214,0.8243158897539503
rehearsal,64,0.3,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.8168817417448749,0.9857707509881423,0.8135137155243292,0.8190094423659362,0.662827064071232,0.812771560236998,0.8073979172826122
rehearsal,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.8269107637893504,0.9674308300395257,0.8163726735929442,0.7848922145020488,0.8000444345700956,0.7807274522712311,0.8119969777602576
rehearsal,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.859443286545797,0.9889723320158103,0.8478772703490545,0.8137359700694815,0.8018218173739169,0.8548387096774194,0.8494136197891002
rehearsal,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,True,grid,0.5287078398187551,0.9545652173913044,0.42820838627700125,0.6225904151077855,0.26840189359629485,0.4207208689927584,0.47776025754738677
rehearsal,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,True,grid,0.7405329908650864,0.9643280632411068,0.9356080424545931,0.4861927667913772,0.5705740604651958,0.7277814351547071,0.7587135770835387
rehearsal,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,True,grid,0.6898976399412865,0.5519762845849803,0.5295612527094701,0.7133440228042045,0.7077230700869892,0.8074884792626729,0.8292927301994021
rehearsal,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,True,grid,0.827701860897446,0.8339130434782609,0.8046378653113088,0.8365223588099056,0.8082648300377694,0.8252304147465438,0.8576426530008869
rehearsal,64,0.5,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.8213149535802069,0.9411067193675889,0.8417856342028552,0.7853910564760378,0.8180062550202519,0.7679888084265964,0.773611247987911
rehearsal,64,0.5,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.8473344876803597,0.9758893280632411,0.8429067942297631,0.8332086228398361,0.7870216874882505,0.8008393680052667,0.8441411254557998
rehearsal,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.7340545218418203,0.9267193675889328,0.44452126466851033,0.6686442187778372,0.7945242937466888,0.7684167215273207,0.8015012647416313
rehearsal,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.8534734986587175,0.9640711462450593,0.8339188280140519,0.8199180473899875,0.7900295660793328,0.8605332455562871,0.8523701586675865
ewc,64,0.3,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.2812398965522991,0.8527272727272728,0.6723596681366321,0.05344735435595938,0.08514347239075078,0.021757735352205397,0.0020038763509740154
ewc,64,0.3,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.20078376177051385,0.9562450592885375,0.054488377307721055,0.04657046142882594,0.07087313930237725,0.07399605003291639,0.0025294832627049046
ewc,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.1678880926931748,0.7820158102766799,0.054488377307721055,0.062141457331195436,0.0849212995402731,0.021757735352205397,0.0020038763509740154
ewc,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.20823477568480972,0.9492885375494071,0.14881530757156738,0.04708711918760022,0.04072599251448396,0.06148782093482554,0.0020038763509740154
ewc,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,True,grid,0.14363403985079715,0.5519762845849803,0.12775618506614844,0.05341172278638874,0.04467383316527951,0.04302172481895984,0.040964488683026185
ewc,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,True,grid,0.1905035070093123,0.844901185770751,0.054488377307721055,0.05854266880456084,0.08510929195221574,0.09797564186965109,0.0020038763509740154
ewc,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,True,grid,0.30701001604881645,0.8798616600790514,0.6454331414903954,0.16579369321218598,0.08512638217148326,0.06384134298880843,0.0020038763509740154
ewc,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,True,grid,0.19946466104413108,0.9572529644268775,0.054488377307721055,0.021895599501158027,0.07890554235810845,0.08224160631994733,0.0020038763509740154
ewc,64,0.5,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.17045951024346473,0.7967786561264822,0.054488377307721055,0.04657046142882594,0.08471621690906295,0.03819947333772219,0.0020038763509740154
ewc,64,0.5,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.19742139858102245,0.9625098814229249,0.054488377307721055,0.04657046142882594,0.04072599251448396,0.03923633969716919,0.040997339115009364
ewc,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.1703949547654895,0.7811067193675889,0.054488377307721055,0.05195082843399252,0.05925179020046827,0.07356813693219223,0.0020038763509740154
ewc,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.23886391523548814,0.9765810276679842,0.29987293519695046,0.04657046142882594,0.08522892348708834,0.02292626728110599,0.0020038763509740154
si,64,0.3,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.20127576437083328,0.9704545454545455,0.054488377307721055,0.048049171566007486,0.04643412574983337,0.08622448979591837,0.0020038763509740154
si,64,0.3,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.19087429375000622,0.9753754940711462,0.054488377307721055,0.04657046142882594,0.0450498179891648,0.021757735352205397,0.0020038763509740154
si,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.20625693324184813,0.9664031620553359,0.054488377307721055,0.0800997683947978,0.06543844957530805,0.06910796576695194,0.0020038763509740154
si,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.19647953263552134,0.9648221343873518,0.054488377307721055,0.04657046142882594,0.08495547997880813,0.026036866359447006,0.0020038763509740154
