mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,aggregator,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.3,0.001,0.0,60,5000,1000.0,5.0,mean,grid,0.21392463358177952,0.9786166007905138,0.11404066073697586,0.06919650810618208,0.058021294413207324,0.061668861092824226,0.0020038763509740154
naive,64,0.3,0.001,0.0,60,5000,1000.0,5.0,pool,grid,0.20905634889359867,0.9865217391304347,0.054488377307721055,0.04747906645287725,0.08299010476304411,0.07876892692560895,0.004089878781905982
naive,64,0.3,0.001,0.0,90,5000,1000.0,5.0,mean,grid,0.24873742239244298,0.988399209486166,0.3451864862844757,0.041831462675930874,0.07770922700938253,0.03729427254772877,0.0020038763509740154
naive,64,0.3,0.001,0.0,90,5000,1000.0,5.0,pool,grid,0.22976751295962985,0.9899209486166007,0.1348942372374617,0.04657046142882594,0.07316322868422402,0.09516129032258064,0.038894911468085804
naive,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,mean,grid,0.3394178517488499,0.975098814229249,0.8456536362956872,0.06830571886691608,0.0846649462512604,0.060780118499012506,0.0020038763509740154
naive,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,pool,grid,0.2521092631840624,0.9728063241106719,0.3832685551984453,0.06702298236237306,0.06531881804043546,0.022235023041474653,0.0020038763509740154
naive,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,mean,grid,0.22735355381999897,0.9791699604743083,0.2098064130353539,0.061339747015856046,0.08502384085587818,0.026777485187623438,0.0020038763509740154
naive,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,pool,grid,0.19636871710746343,0.9821343873517786,0.05818820539651693,0.04657046142882594,0.06755763676447969,0.021757735352205397,0.0020038763509740154
naive,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,mean,grid,0.362382766916735,0.777094861660079,0.7236340533672173,0.31938357384642796,0.11368413856749782,0.13212639894667544,0.10837357511251274
naive,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,pool,grid,0.24478459401963634,0.9338932806324111,0.24388967785335228,0.17393550685907713,0.05602173875890828,0.05585911784068466,0.00510824217338458
naive,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,mean,grid,0.18751530216374593,0.9309683794466403,0.05553479333283504,0.025636914306075183,0.07463298754123016,0.03214285714285714,0.006175881212837949
naive,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,pool,grid,0.3050698767350218,0.9891897233201581,0.42420958218103,0.09787992161054694,0.10395980380428281,0.20985845951283738,0.005321769981275253
rehearsal,64,0.3,0.001,0.0,60,5000,1000.0,5.0,mean,grid,0.7566053418400568,0.8966403162055336,0.9132595859182301,0.619668626402993,0.6343718489908226,0.7218071099407505,0.7538845635820111
rehearsal,64,0.3,0.001,0.0,60,5000,1000.0,5.0,pool,grid,0.8267321930378576,0.9567193675889328,0.9222101801330443,0.7584714056654196,0.7158580144583255,0.7995391705069125,0.8075950198745113
rehearsal,64,0.3,0.001,0.0,90,5000,1000.0,5.0,mean,grid,0.8549823985411189,0.9760276679841897,0.9513977128335451,0.7816497416711207,0.7964554885239178,0.7993087557603686,0.8250550244735718
rehearsal,64,0.3,0.001,0.0,90,5000,1000.0,5.0,pool,grid,0.8540486206512884,0.9898616600790514,0.9488564167725541,0.7990557634063781,0.749542836634594,0.8058591178406846,0.8311159291744686
rehearsal,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,mean,grid,0.8493595460974012,0.8937944664031621,0.9125121459002915,0.8399608052734723,0.8210995847076717,0.8197498354180381,0.8090404388817712
rehearsal,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,pool,grid,0.8058213352370215,0.6156324110671937,0.7737125345691008,0.8527169071797612,0.8707979423376002,0.8357142857142857,0.8863539305541868
rehearsal,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,mean,grid,0.8652953937425779,0.9879446640316205,0.903150459675611,0.8095492606449314,0.8178695332661118,0.8304970375246873,0.8427614073125062
rehearsal,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,pool,grid,0.8888677439327223,0.9848616600790514,0.8947417594738022,0.8328523071441297,0.9006032847401432,0.8607965766951942,0.8593508754640123
rehearsal,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,mean,grid,0.6597334996381061,0.8409683794466403,0.817007997608192,0.7528950650276145,0.2645907746996394,0.5809743252139565,0.7019644558325941
rehearsal,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,pool,grid,0.6661849488191974,0.7471146245059288,0.6432655654383735,0.6362194904685552,0.565122280518859,0.6706221198156682,0.7347656121678
rehearsal,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,mean,grid,0.8381044197953876,0.9798616600790514,0.8407205321772928,0.8165330482807768,0.7853126655614991,0.7998683344305464,0.806330278243159
rehearsal,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,pool,grid,0.7983565816394155,0.9590316205533597,0.6396217953509231,0.7654730090860502,0.7781347734691436,0.7961158657011191,0.8517624256758977
ewc,64,0.3,0.001,0.0,60,5000,1000.0,5.0,mean,grid,0.30236668836371966,0.9614031620553359,0.6021937364526496,0.046802066631035096,0.07861500863056073,0.09494733377221856,0.030238822640517724
