mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,aggregator,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.3,0.001,0.0,10,5000,1000.0,5.0,mean,grid,0.6730069186342753,0.7677667984189723,0.7601838702444129,0.7091038660252984,0.6440278228769675,0.5900592495062541,0.5668999047337473
naive,64,0.3,0.001,0.0,10,5000,1000.0,5.0,pool,grid,0.48782325988930303,0.6116403162055336,0.6282233350773601,0.5038482095136291,0.41247244202143113,0.36984858459512837,0.40090667192273577
naive,64,0.3,0.001,0.0,15,5000,1000.0,5.0,mean,grid,0.6140736214758624,0.7986363636363636,0.755680544136333,0.6448779618742205,0.5776665014612138,0.4861257406188282,0.42145461712821525
naive,64,0.3,0.001,0.0,15,5000,1000.0,5.0,pool,grid,0.594700564593302,0.8409090909090909,0.7918566410045594,0.6561731694281133,0.5388717037239588,0.37371626069782754,0.36667652179626165
naive,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,mean,grid,0.5908285227962574,0.7580237154150198,0.7420584498094028,0.6743987172634954,0.5348555021960931,0.4353686635944701,0.40026608849906375
naive,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,pool,grid,0.45399247634857004,0.6072529644268775,0.6235705209656925,0.48743987172634956,0.3511014646317912,0.3012343647136274,0.35335567162708187
naive,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,mean,grid,0.6722345944343046,0.8074110671936758,0.7773936766574482,0.7089078923926599,0.6232802966862064,0.5619321922317314,0.554482441444105
naive,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,pool,grid,0.4775540920836486,0.8574703557312253,0.6794603483070484,0.5156778906110814,0.3557158238340198,0.27116524028966427,0.18583489372885253
naive,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,mean,grid,0.46525395163334493,0.4902766798418972,0.4906383137753195,0.4736326385177267,0.4749542836634594,0.4476300197498354,0.41439177425183144
naive,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,pool,grid,0.4809011443776965,0.628596837944664,0.5349241348381792,0.4895599501158026,0.4254610086647412,0.40615536537195523,0.4007095693308367
naive,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,mean,grid,0.3338441561557204,0.5203359683794466,0.3417482622019583,0.29852128986281845,0.28930323176046346,0.2725806451612903,0.2805755395683453
naive,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,pool,grid,0.4687343038933289,0.6661067193675889,0.6366880932805142,0.5703723499020131,0.42452104660502793,0.29539170506912443,0.21932590913570513
rehearsal,64,0.3,0.001,0.0,10,5000,1000.0,5.0,mean,grid,0.6722781498391573,0.6252964426877471,0.7024254428582106,0.7163014430785676,0.6946148719088066,0.656221198156682,0.6388095003449296
rehearsal,64,0.3,0.001,0.0,10,5000,1000.0,5.0,pool,grid,0.7438291810428176,0.7455335968379446,0.8043388893041333,0.7737395332264386,0.7194811409430383,0.6987820934825543,0.7210998324627969
rehearsal,64,0.3,0.001,0.0,15,5000,1000.0,5.0,mean,grid,0.6992830754597467,0.6604545454545454,0.7101801330443231,0.7303580972741849,0.709380821355938,0.69137590520079,0.6939489504286981
rehearsal,64,0.3,0.001,0.0,15,5000,1000.0,5.0,pool,grid,0.8207382318926664,0.8849407114624506,0.8987218775693251,0.8483342241225726,0.8035479295199357,0.7399605003291639,0.7489241483525508
rehearsal,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,mean,grid,0.5035286628731808,0.31974308300395254,0.44220420061290083,0.5193123107072867,0.5671901970502281,0.5710829493087558,0.6016392365559607
rehearsal,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,pool,grid,0.7836545917763903,0.8128458498023715,0.8316765079602362,0.8015856048458935,0.7637789892844326,0.7411125740618828,0.7509280247035248
rehearsal,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,mean,grid,0.6231907242183076,0.48458498023715413,0.5716608117198595,0.6392838054516301,0.668022490728556,0.6787524687294273,0.696839788443218
rehearsal,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,pool,grid,0.79914837609024,0.8633399209486166,0.8757380970177143,0.7919116337074649,0.7422282227880984,0.7332620144832126,0.7884103675963339
rehearsal,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,mean,grid,0.6301320208732334,0.865909090909091,0.6287091710890201,0.5948868697666132,0.5814263497000667,0.5535714285714286,0.55628921520318
rehearsal,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,pool,grid,0.4003967034323093,0.5229446640316205,0.4149786979594888,0.4294494922501336,0.4099089091313042,0.3380678077682686,0.2870306494530403
rehearsal,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,mean,grid,0.6090176245857578,0.6900395256916996,0.6944465206667165,0.6015856048458934,0.5672072872694957,0.5453917050691244,0.5554351039716172
rehearsal,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,pool,grid,0.5903964075378403,0.7151185770750988,0.5832087599970103,0.5882237662569036,0.551467195324116,0.5217577353522054,0.5826024112217075
ewc,64,0.3,0.001,0.0,10,5000,1000.0,5.0,mean,grid,0.5454626813703527,0.6392292490118577,0.6089020106136482,0.5552823801888473,0.5118691572812879,0.48447992100065834,0.4730133701258172
ewc,64,0.3,0.001,0.0,10,5000,1000.0,5.0,pool,grid,0.35778026572210964,0.6546245059288538,0.45898422901562147,0.3342953857117406,0.22827405875617385,0.23105661619486503,0.23944679872540323
ewc,64,0.3,0.001,0.0,15,5000,1000.0,5.0,mean,grid,0.6854825383927473,0.9210276679841897,0.7818409447641826,0.6999821842152146,0.6397552680600892,0.5520078999341672,0.51828126539864
ewc,64,0.3,0.001,0.0,15,5000,1000.0,5.0,pool,grid,0.6271977402885149,0.9188735177865612,0.826631287839151,0.5913949759486905,0.531950164920616,0.4343811718235681,0.4599553234125029
ewc,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,mean,grid,0.4725970825747828,0.7468577075098815,0.5397264369534345,0.4471761981115268,0.3777451164698443,0.362771560236998,0.3613054761670116
ewc,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,pool,grid,0.4658394502692767,0.5545059288537549,0.6453210254877046,0.49736326385177265,0.3932972160032813,0.3718729427254773,0.3326763246936697
ewc,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,mean,grid,0.6117030000767467,0.6928853754940711,0.6874018984976455,0.6257616247995724,0.5664040469639225,0.558459512837393,0.5393055418678756
ewc,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,pool,grid,0.5445897898472646,0.790098814229249,0.6887286045294865,0.535987885266346,0.4268794968639448,0.4346774193548387,0.39116651883972275
ewc,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,mean,grid,0.3336070347128857,0.5200395256916996,0.5120150982883623,0.3580616426153572,0.2650009399620597,0.17323897300855826,0.17328602871127755
ewc,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,pool,grid,0.6006254697050001,0.7460671936758894,0.7261940354286569,0.6471940138963121,0.5842291456599388,0.4669354838709677,0.4331329456982359
ewc,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,mean,grid,0.20736210357369236,0.26717391304347826,0.2546528141116675,0.214929627650098,0.1936663647394596,0.16984858459512836,0.14390131730232253
ewc,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,pool,grid,0.37099294328481497,0.5599407114624506,0.5439494730547874,0.4317833600570105,0.32548322594978896,0.1869486504279131,0.17785223875693965
si,64,0.3,0.001,0.0,10,5000,1000.0,5.0,mean,grid,0.5353082278139047,0.5902964426877471,0.5872075640929816,0.5297701763762693,0.5121084203510331,0.49476629361421987,0.4977004697611774
si,64,0.3,0.001,0.0,10,5000,1000.0,5.0,pool,grid,0.48028431936483734,0.6091304347826086,0.665875625981015,0.5544984856582933,0.44822518072906875,0.34654377880184334,0.2574324102361946
si,64,0.3,0.001,0.0,15,5000,1000.0,5.0,mean,grid,0.5409667120473431,0.5836956521739131,0.5944390462665371,0.537270621770889,0.5139712542511921,0.5074391046741277,0.5089845931473999
si,64,0.3,0.001,0.0,15,5000,1000.0,5.0,pool,grid,0.5870781469996167,0.7827865612648222,0.8080013453920323,0.6532513807233209,0.5706424213422658,0.41392363396971693,0.2938635393055419
si,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,mean,grid,0.5508130095496522,0.7439525691699604,0.7124598250990358,0.6238909673971138,0.49597525336250065,0.3900921658986175,0.3385072763706843
si,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,pool,grid,0.46991973801582637,0.6200592885375494,0.6525525076612602,0.5233208622839836,0.38789670671474713,0.3198485845951284,0.3158404783022897
si,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,mean,grid,0.5280181581445677,0.6264624505928854,0.5785933178862396,0.5238197042579725,0.48498624237348964,0.4793449637919684,0.47490226996485
si,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,pool,grid,0.3723030599318027,0.6127865612648221,0.44758576874205847,0.3430785676109033,0.25754960436142393,0.2975148123765635,0.27530304523504484
si,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,mean,grid,0.27578286359351095,0.589802371541502,0.32136183571268406,0.2101906288972029,0.1926067711448738,0.17756747860434496,0.16316809566045792
si,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,pool,grid,0.6343905277898859,0.716897233201581,0.7188130652515136,0.6975057901300552,0.6404901474885922,0.5491935483870968,0.483443382280477
si,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,mean,grid,0.43266792352043965,0.7409288537549407,0.5310748187457957,0.4116337074648138,0.35038367542255566,0.27755102040816326,0.28443546532636904
si,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,pool,grid,0.5565787500179263,0.7318577075098814,0.658831003811944,0.5547835382148584,0.4863705501341582,0.47796247531270575,0.4296672251240104
gen_replay,64,0.3,0.001,0.0,10,5000,1000.0,5.0,mean,grid,0.5769136909313023,0.4508695652173913,0.5050452201210853,0.5869766613219313,0.6366790285919368,0.6339861751152074,0.6479254952202621
gen_replay,64,0.3,0.001,0.0,10,5000,1000.0,5.0,pool,grid,0.7350904322593301,0.7862252964426878,0.8320875999701024,0.7907714234812043,0.7221984858065729,0.6466754443712969,0.6325843434841169
gen_replay,64,0.3,0.001,0.0,15,5000,1000.0,5.0,mean,grid,0.7925297507474595,0.8143083003952569,0.8297144779131475,0.7843399251737039,0.7574726983747202,0.7766129032258065,0.7927301994021222
gen_replay,64,0.3,0.001,0.0,15,5000,1000.0,5.0,pool,grid,0.7193934046301447,0.6493478260869565,0.7963225951117423,0.7522715125601283,0.6826004477637448,0.7006089532587229,0.7352090929995729
gen_replay,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,mean,grid,0.7165069253832771,0.7264426877470356,0.7553255101278122,0.7492250133618386,0.7165245330097585,0.6760039499670836,0.6755198580861338
gen_replay,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,pool,grid,0.631772368813609,0.5956521739130435,0.645657373495777,0.6827721361125958,0.646505904670757,0.6137590520078999,0.6062875726815807
gen_replay,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,mean,grid,0.662755425182948,0.5056126482213439,0.6215898049181553,0.6715481916978443,0.7203185616871465,0.7236339697169191,0.7338293748562794
gen_replay,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,pool,grid,0.8114136683681088,0.9007312252964427,0.8853800732491217,0.8158738642437199,0.7426725684890537,0.7661454904542462,0.7576787884760685
gen_replay,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,mean,grid,0.43309326676458365,0.5387154150197628,0.4056170117348083,0.4119543915909496,0.42540973800693865,0.3955398288347597,0.4213232154002825
gen_replay,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,pool,grid,0.5091057484394433,0.6013833992094861,0.5006166380147993,0.5395866737929805,0.5012561311161622,0.456550362080316,0.45524128642291645
gen_replay,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,mean,grid,0.5086590978047532,0.6687351778656127,0.6247477389939458,0.4731872438980937,0.43028045049817987,0.42091836734693877,0.43408560822574815
gen_replay,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,pool,grid,0.6334233992465528,0.591798418972332,0.6581583077957994,0.7045608409050419,0.6369353818809496,0.5955892034233048,0.6134982425018889
naive,128,0.0,0.0001,0.0,10,5000,500.0,10.0,pool,random,0.1708793394122492,0.34349802371541505,0.16875327005007848,0.1527525387493319,0.1341240408114436,0.11764318630678078,0.10850497684044545
naive,256,0.3,0.0001,0.0,15,2000,2000.0,5.0,gcn,random,0.35027448529063054,0.5664426877470355,0.5105389042529337,0.31378941742383754,0.26195888093244235,0.22103357472021065,0.22788344666732369
naive,128,0.0,0.001,0.0,20,5000,1000.0,2.0,pool,random,0.5818084472027456,0.991798418972332,0.6164511547948277,0.46335293069659717,0.4645976107873464,0.533080974325214,0.4215695936401564
naive,64,0.5,0.001,0.0001,15,2000,1000.0,5.0,pool,random,0.3345754818499107,0.5844268774703557,0.5505082592121983,0.35667201140210225,0.20053663288499993,0.16925608953258722,0.14605302059722086
naive,256,0.5,0.0005,0.0001,20,2000,2000.0,5.0,mean,random,0.4319474205879401,0.5024308300395257,0.5502279692054712,0.41950828433992515,0.36044981457112096,0.3815997366688611,0.37746788870273645
naive,256,0.3,0.001,0.0001,20,10000,500.0,10.0,lstm,random,0.47586019192917184,0.993794466403162,0.47664249943942,0.33760912168181006,0.31892058175106386,0.4093153390388413,0.31887914326073385
naive,256,0.0,0.001,1e-05,20,10000,2000.0,10.0,pool,random,0.493415446672653,0.9981422924901185,0.40688765976530383,0.3069837876358454,0.4194110710440415,0.4041803818301514,0.4248874872704576
naive,128,0.5,0.0005,0.0001,10,10000,1000.0,2.0,gcn,random,0.4767986522828817,0.6871541501976285,0.6450594214814261,0.47594869053981825,0.40435458786936235,0.33838051349572085,0.309894550113334
naive,256,0.0,0.0005,0.0001,20,2000,500.0,10.0,pool,random,0.5248816570728548,0.9785177865612649,0.6040810224979445,0.3332798859789774,0.37470305744022697,0.43337722185648453,0.42533096810223053
naive,128,0.3,0.0001,0.0,20,10000,2000.0,10.0,mean,random,0.17100615149921924,0.3458300395256917,0.19752971074071307,0.15448066987350792,0.14114812093039153,0.09736668861092825,0.08968167931408298
naive,64,0.5,0.0005,1e-05,10,10000,1000.0,10.0,pool,random,0.47534114584846554,0.8226679841897233,0.5750990358023769,0.3948334224122573,0.37379727581904876,0.3499341672152732,0.33571498965211394
naive,64,0.0,0.0001,1e-05,15,2000,2000.0,10.0,lstm,random,0.1617574957979298,0.2791501976284585,0.2763846326332312,0.26223053625512205,0.09609830294122673,0.03173140223831468,0.02494990309122565
rehearsal,128,0.3,0.0001,0.0,20,5000,500.0,5.0,mean,random,0.40526114129924373,0.6566798418972332,0.4689625532551013,0.40612862996615,0.3602447319399108,0.2864713627386438,0.25307972799842315
rehearsal,128,0.0,0.001,0.0001,10,10000,1000.0,5.0,lstm,random,0.889175477431498,0.7930830039525691,0.9409148665819568,0.8934081596294317,0.9169586245791533,0.8908163265306123,0.8998718833152656
rehearsal,64,0.5,0.0001,1e-05,20,10000,500.0,2.0,pool,random,0.4192723656822895,0.5624703557312253,0.4955153598923686,0.45029396044895775,0.4078751730384701,0.3155859117840685,0.28389343319864657
rehearsal,64,0.3,0.0001,0.0001,10,2000,2000.0,10.0,gcn,random,0.34097779807181205,0.45217391304347826,0.4171089020106136,0.37935150543381435,0.3193478372327517,0.27518104015799866,0.20270359055221576
rehearsal,256,0.5,0.001,1e-05,15,10000,1000.0,5.0,gcn,random,0.8929475497376079,0.8972529644268775,0.9158008819792212,0.895991448423303,0.888007793139986,0.8754937458854509,0.8851384645708091
rehearsal,64,0.0,0.001,1e-05,20,2000,500.0,2.0,lstm,random,0.7803685752379067,0.9242885375494071,0.8751962030047089,0.7996793158738642,0.7196862235742485,0.7225806451612903,0.6407805262639203
rehearsal,256,0.3,0.0001,1e-05,15,10000,1000.0,2.0,gcn,random,0.5057839101021827,0.5369960474308301,0.49846774796322596,0.45861393194370215,0.5069642643515117,0.49489795918367346,0.5387635097401531
rehearsal,128,0.0,0.0005,0.0,15,2000,1000.0,10.0,pool,random,0.7296653980340438,0.8786166007905138,0.8317699379624786,0.7646534829859255,0.5587988993898791,0.7028801843317972,0.6412732827436681
rehearsal,128,0.5,0.0001,0.0,20,5000,2000.0,2.0,mean,random,0.39762375171040065,0.5728260869565217,0.4164735779953659,0.417103153393907,0.35303265940902023,0.3182356813693219,0.30807135113826745
rehearsal,256,0.5,0.001,1e-05,20,2000,2000.0,5.0,lstm,random,0.7107927238162973,0.98699604743083,0.7052844009268256,0.6117049706039551,0.6626219814400218,0.7123271889400922,0.5858217535560593
rehearsal,256,0.0,0.0001,0.0,20,2000,1000.0,5.0,lstm,random,0.771794608459166,0.7637154150197628,0.9065139397563345,0.8349011223944415,0.7828858544255123,0.7162771560236998,0.6264741631352452
rehearsal,128,0.0,0.0001,0.0001,15,2000,1000.0,2.0,gcn,random,0.2472371561914144,0.5475889328063241,0.40281411166753867,0.20489934081596295,0.18751388580315487,0.0771724818959842,0.06343418415952169
ewc,128,0.3,0.0001,1e-05,20,2000,500.0,5.0,pool,random,0.32869523977217,0.4984782608695652,0.4534718588833246,0.3138606805629788,0.24435595508690378,0.24400921658986174,0.21799546664038633
ewc,64,0.0,0.0001,0.0001,20,2000,2000.0,10.0,gcn,random,0.32749685746430446,0.6071343873517786,0.3984415875625981,0.2835916622127205,0.2937295985507494,0.19698815009874918,0.18509575900923098
ewc,128,0.0,0.0005,0.0,15,5000,500.0,2.0,mean,random,0.815936736144578,0.891205533596838,0.8910979893863518,0.8055407090682345,0.7535077675046571,0.7620473996050033,0.7922210177063829
ewc,128,0.5,0.0005,0.0,10,5000,2000.0,10.0,pool,random,0.5356906371387423,0.6769762845849803,0.6632222139173332,0.5969178692321396,0.5193034026626562,0.4078341013824885,0.34988995105285636
ewc,256,0.5,0.001,0.0,15,5000,1000.0,10.0,pool,random,0.47252241521877897,0.9823517786561264,0.46352492712459825,0.3345448066987351,0.31839078495377093,0.4079328505595787,0.32838934331986463
ewc,64,0.5,0.001,0.0001,20,5000,2000.0,2.0,mean,random,0.40424750126415643,0.503695652173913,0.46223559309365425,0.4092998396579369,0.39075077333242186,0.3432027649769585,0.3163003843500542
ewc,128,0.0,0.0001,0.0001,10,10000,500.0,10.0,mean,random,0.2601471237310813,0.4424703557312253,0.38263323118319753,0.20288615713522182,0.19282894399535147,0.17032587228439763,0.16973818205709404
ewc,64,0.0,0.0005,0.0001,20,5000,1000.0,5.0,gcn,random,0.37172443759008883,0.6559288537549407,0.5949435682786456,0.519276679137716,0.2120554406713038,0.15070770243581302,0.0974343812621136
ewc,128,0.5,0.0001,0.0,10,2000,1000.0,10.0,pool,random,0.4324970546665707,0.5269960474308301,0.5122393302937439,0.4667022982362373,0.42540973800693865,0.3559084924292298,0.30772642160244407
ewc,64,0.3,0.0005,0.0,15,10000,500.0,5.0,pool,random,0.4634105077143731,0.700790513833992,0.5787241198893789,0.450864065562088,0.4093449318954762,0.36473008558262016,0.2760093295226832
ewc,128,0.3,0.0001,0.0001,10,2000,2000.0,10.0,lstm,random,0.46210001010908536,0.718794466403162,0.6110695866656701,0.4813646891145555,0.4096012851844889,0.2857636603028308,0.26600637298380475
ewc,128,0.5,0.0005,0.0,10,5000,2000.0,5.0,pool,random,0.4337691960147619,0.6666403162055335,0.6311570371477689,0.5073044717619811,0.33377198229453287,0.2500164581961817,0.21372491048257283
si,128,0.0,0.0005,1e-05,15,10000,500.0,5.0,gcn,random,0.6615650925457376,0.81899209486166,0.6959787727034905,0.6356137537858543,0.6190077418693282,0.6156846609611587,0.5841135310929338
si,256,0.5,0.001,1e-05,15,10000,500.0,5.0,lstm,random,0.5353216452833638,0.9654940711462451,0.5827789819866955,0.47455905932656334,0.3373267479021756,0.42231731402238315,0.4294536973161197
si,128,0.5,0.0001,1e-05,15,10000,1000.0,2.0,lstm,random,0.33189310472330064,0.6657312252964427,0.3992077135809851,0.34933190807055053,0.2618734298361048,0.17114878209348255,0.14406556946223842
si,64,0.3,0.0001,0.0001,15,5000,500.0,2.0,lstm,random,0.17192556797279748,0.5160869565217391,0.15780327378727857,0.09388918581863531,0.09558559636320134,0.08726135615536537,0.08092703919056536
si,256,0.3,0.0001,0.0001,20,10000,2000.0,2.0,lstm,random,0.30524997056929926,0.5075494071146245,0.4030570296733687,0.2603955104222341,0.21036350896382,0.2219716919025675,0.22816267533918072
si,256,0.5,0.0005,0.0001,10,5000,1000.0,5.0,lstm,random,0.6631691835944827,0.8477272727272728,0.8249308617983406,0.6412969891323713,0.5711038572624887,0.5511191573403555,0.5428369633060675
si,128,0.3,0.001,0.0,15,10000,2000.0,5.0,pool,random,0.5054933315394321,0.963300395256917,0.6477502055460049,0.5431676465348299,0.33414796711841815,0.20457537853851218,0.3400183962419106
si,128,0.3,0.0005,0.0001,20,10000,1000.0,10.0,mean,random,0.5314011523597727,0.7010276679841897,0.5683907616413783,0.506182077320506,0.4859774750910054,0.46884463462804477,0.45798429749351205
si,64,0.5,0.0001,0.0001,10,2000,2000.0,2.0,mean,random,0.31291256101718185,0.5661067193675889,0.3342178040212273,0.3186887582398005,0.2785876642797327,0.20093811718235682,0.1789363030123846
si,256,0.5,0.0001,0.0001,20,5000,500.0,10.0,mean,random,0.34022046256890337,0.5996837944664032,0.47094326930263847,0.4199714947443435,0.20639857809375695,0.1740454246214615,0.17028021418481654
si,128,0.3,0.0005,0.0001,15,10000,2000.0,10.0,gcn,random,0.42056449814553093,0.5458893280632411,0.5183683384408401,0.43440228042045254,0.38427358023003433,0.3367840684660961,0.3036693932525213
si,256,0.0,0.0001,0.0001,20,5000,2000.0,2.0,lstm,random,0.47628429224230356,0.7091897233201581,0.5435196950444727,0.4104400498841974,0.40459385093910755,0.38108953258722844,0.4088729016786571
gen_replay,256,0.3,0.0005,0.0,10,10000,1000.0,10.0,pool,random,0.8854104552105423,0.9050197628458498,0.9448202406756858,0.8929983965793693,0.8364466016098987,0.8469387755102041,0.8862389540422456
gen_replay,256,0.3,0.0005,0.0,10,2000,1000.0,2.0,mean,random,0.7563237788363025,0.7837944664031621,0.7993497271843935,0.7685907714234812,0.7448259361167604,0.7229921000658328,0.7183896718241845
gen_replay,64,0.5,0.0001,1e-05,10,10000,500.0,10.0,gcn,random,0.14546809742676112,0.3401383399209486,0.14918902758053665,0.14450383039372885,0.12113547416813358,0.06107636603028308,0.05676554646693604
gen_replay,128,0.5,0.0005,1e-05,15,5000,1000.0,5.0,mean,random,0.7139929488814017,0.667292490118577,0.7266985574407654,0.7269018350258329,0.7329311435065712,0.7081797235023042,0.7219539436943596
gen_replay,64,0.0,0.0001,0.0001,20,2000,1000.0,5.0,pool,random,0.22339734763252403,0.34800395256916994,0.326836833844084,0.25296632816675574,0.1985883478885034,0.10701119157340355,0.10697743175322756
gen_replay,128,0.5,0.001,1e-05,15,10000,2000.0,2.0,pool,random,0.8676931905166022,0.9262845849802371,0.8976941475446596,0.8860146089435239,0.8074615897321963,0.8663100724160632,0.8223941394829342
gen_replay,128,0.0,0.001,0.0001,20,5000,2000.0,10.0,mean,random,0.8975290019435801,0.9731422924901186,0.9411951565886838,0.8742918225547835,0.8845726590672158,0.8629855167873601,0.8489865641733189
gen_replay,256,0.3,0.001,0.0,10,5000,500.0,5.0,pool,random,0.8275406833804918,0.9745652173913043,0.8565102025562449,0.7847853197933369,0.7316322868422401,0.8518104015799869,0.7659406721198384
gen_replay,64,0.5,0.0005,0.0,10,5000,2000.0,2.0,gcn,random,0.35641115370564064,0.545,0.411484415875626,0.38779618742205596,0.3095551415924666,0.24028966425279788,0.24434151309089713
gen_replay,128,0.5,0.001,0.0001,10,10000,500.0,10.0,gcn,random,0.7213278857904188,0.5945652173913043,0.6660064279841543,0.7183502583288793,0.770290362825355,0.7767610269914418,0.8019940212213791
gen_replay,64,0.0,0.0001,1e-05,15,5000,500.0,2.0,pool,random,0.3816729710113793,0.5025098814229249,0.45272441886538606,0.3722786388740424,0.3919470886811478,0.269815668202765,0.3007621300220098
gen_replay,256,0.5,0.001,0.0,20,2000,2000.0,2.0,gcn,random,0.791425408140685,0.9338339920948616,0.9020292996487032,0.7954926064493141,0.736554269991284,0.7152732060566162,0.6653690746033311
